brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,max_power,seats,selling_price
Maruti,7,56000.0,Dealer,Diesel,Manual,23.4,74.0,5,410000
Maruti,5,52427.0,Dealer,Petrol,Automatic,21.4,83.1,5,590000
Mahindra,1,40000.0,Individual,Diesel,Manual,21.0,74.96,7,850000
Mahindra,3,17000.0,Individual,Petrol,Manual,18.15,82.0,5,550000
Maruti,5,22000.0,Dealer,Petrol,Manual,15.4,94.0,5,625000
Maruti,5,54000.0,Individual,Petrol,Manual,20.85,83.14,5,600000
Maruti,2,10000.0,Individual,Petrol,Manual,20.51,67.04,5,445000
Maruti,2,20000.0,Individual,Petrol,Manual,20.89,81.8,5,530000
Maruti,3,53237.0,Trustmark Dealer,CNG,Manual,26.6,58.16,5,410000
Datsun,3,27263.0,Individual,Petrol,Manual,22.5,68.0,5,350000
Hyundai,7,110000.0,Individual,Diesel,Manual,22.32,126.3,5,520000
Hyundai,5,70000.0,Individual,Diesel,Manual,22.54,88.73,5,750000
Maruti,4,70000.0,Individual,Diesel,Manual,26.59,74.0,5,560000
Hyundai,2,39000.0,Dealer,Petrol,Manual,18.6,81.83,5,655000
Hyundai,14,56000.0,Dealer,Petrol,Manual,17.8,63.0,5,125000
Hyundai,3,34000.0,Individual,Petrol,Manual,18.6,81.83,5,550000
Mahindra,4,50000.0,Individual,Diesel,Manual,15.4,120.0,7,1150000
Volkswagen,9,77400.0,Individual,Diesel,Manual,20.54,103.6,5,500000
Mahindra,2,36000.0,Individual,Diesel,Manual,17.3,121.0,7,990000
Hyundai,8,47876.0,Dealer,Diesel,Manual,25.0,113.42,5,551000
Mahindra,3,21500.0,Individual,Diesel,Automatic,15.1,152.87,7,1650000
Hyundai,6,75000.0,Dealer,Diesel,Manual,24.0,70.0,5,350000
Ford,4,58000.0,Dealer,Petrol,Manual,18.16,86.8,5,500000
Maruti,3,30000.0,Individual,Petrol,Manual,21.21,81.8,5,575000
Hyundai,3,50000.0,Individual,Diesel,Manual,24.0,73.97,5,545000
Ford,4,19093.0,Trustmark Dealer,Petrol,Manual,18.16,86.8,5,525000
Honda,7,50000.0,Individual,Petrol,Manual,18.0,86.7,5,400000
Maruti,15,37000.0,Dealer,Petrol,Manual,14.0,64.0,5,155000
Maruti,5,47000.0,Dealer,Diesel,Manual,26.59,74.0,5,545000
Honda,8,70000.0,Individual,Petrol,Manual,16.8,116.3,5,545000
Renault,5,25000.0,Individual,Petrol,Manual,25.17,53.3,5,240000
Maruti,3,26000.0,Dealer,Diesel,Manual,24.3,88.5,5,725000
Ford,4,30000.0,Individual,Petrol,Manual,18.16,86.8,5,480000
Hyundai,8,15000.0,Individual,Petrol,Manual,18.5,82.9,5,375000
Maruti,10,130000.0,Individual,Diesel,Manual,17.8,75.0,5,225000
Tata,4,32100.0,Individual,Petrol,Manual,23.84,84.0,5,400000
Hyundai,5,22000.0,Dealer,Petrol,Manual,18.5,82.9,5,550000
Mahindra,5,44000.0,Dealer,Diesel,Manual,15.4,120.0,7,1050000
Volkswagen,5,78000.0,Dealer,Petrol,Manual,18.78,74.0,5,450000
Mercedes-Benz,9,74352.0,Dealer,Petrol,Automatic,11.74,182.25,5,775000
Maruti,7,37000.0,Individual,Petrol,Manual,20.51,67.04,5,350000
Honda,7,69000.0,Dealer,Diesel,Manual,25.1,98.6,5,550000
Kia,2,12120.0,Individual,Petrol,Manual,16.8,113.4,5,1080000
Maruti,5,52000.0,Dealer,Petrol,Manual,21.01,81.8,5,575000
Toyota,5,120000.0,Individual,Diesel,Manual,12.99,100.6,8,950000
Maruti,8,55000.0,Individual,Petrol,Manual,22.74,47.3,5,230000
Hyundai,10,130000.0,Individual,Diesel,Manual,21.9,90.0,5,270000
Ford,10,40000.0,Individual,Petrol,Manual,15.6,70.0,5,130000
Maruti,9,46000.0,Dealer,Petrol,Manual,19.1,85.8,5,370000
Maruti,4,25000.0,Dealer,Petrol,Manual,21.4,83.1,5,570000
Volkswagen,8,90000.0,Dealer,Diesel,Manual,22.07,73.9,5,365000
Hyundai,9,49566.0,Dealer,Petrol,Manual,18.5,82.85,5,280000
Hyundai,3,14000.0,Dealer,Diesel,Automatic,22.0,126.2,5,1250000
Hyundai,5,11000.0,Dealer,Petrol,Manual,18.6,81.83,5,590000
Maruti,3,5000.0,Individual,Petrol,Automatic,23.1,67.04,5,475000
Ford,4,55000.0,Dealer,Diesel,Manual,23.0,98.96,5,685000
Hyundai,9,65000.0,Dealer,Diesel,Automatic,19.08,126.32,5,380000
Renault,3,22000.0,Individual,Petrol,Manual,23.01,67.0,5,330000
Maruti,3,7671.0,Trustmark Dealer,Petrol,Manual,21.01,81.8,5,650000
Maruti,5,66000.0,Individual,Petrol,Manual,20.51,67.04,5,325000
Maruti,3,45156.0,Dealer,Petrol,Automatic,21.21,81.8,5,640000
Hyundai,2,25000.0,Individual,Petrol,Manual,18.27,118.35,5,949000
Hyundai,6,120000.0,Individual,Diesel,Manual,23.9,126.2,5,660000
Maruti,7,28000.0,Dealer,Petrol,Manual,16.1,85.0,5,435000
Hyundai,8,55000.0,Dealer,Diesel,Manual,21.9,88.76,5,385000
Hyundai,2,14000.0,Dealer,Diesel,Automatic,22.0,126.2,5,1250000
Maruti,12,98780.0,Dealer,Petrol,Manual,18.9,67.1,5,155000
Maruti,6,58000.0,Dealer,Diesel,Manual,25.2,74.0,5,415000
Maruti,10,30000.0,Individual,Petrol,Manual,20.92,67.1,5,251000
Mahindra,5,46400.0,Dealer,Diesel,Manual,15.4,120.0,7,1150000
Hyundai,7,32111.0,Trustmark Dealer,Petrol,Manual,19.81,68.05,5,310000
Datsun,6,35000.0,Individual,Petrol,Manual,19.44,67.0,7,350000
Mahindra,4,30000.0,Dealer,Diesel,Manual,15.4,120.0,7,1125000
BMW,5,63000.0,Dealer,Diesel,Automatic,18.59,182.25,5,2600000
Datsun,3,10000.0,Individual,Petrol,Manual,20.62,67.0,7,480000
Maruti,4,25000.0,Individual,Diesel,Automatic,28.4,74.02,5,850000
Hyundai,4,102000.0,Dealer,Diesel,Automatic,17.01,126.2,5,1100000
Maruti,3,35000.0,Dealer,Petrol,Manual,22.0,81.8,5,575000
Maruti,9,49948.0,Dealer,Petrol,Manual,17.5,85.8,5,340000
Ford,3,55000.0,Individual,Diesel,Manual,23.0,98.96,5,925000
Hyundai,6,36000.0,Dealer,Petrol,Manual,18.9,82.0,5,400000
Honda,5,49625.0,Dealer,Petrol,Manual,17.8,117.3,5,725000
Maruti,7,35000.0,Individual,Diesel,Manual,23.4,74.0,5,600000
Mahindra,8,95000.0,Individual,Diesel,Manual,12.05,120.0,8,550000
Ford,4,36000.0,Dealer,Diesel,Manual,25.83,99.0,5,585000
Maruti,2,50000.0,Individual,Petrol,Manual,21.79,67.05,5,411000
Maruti,6,26500.0,Individual,Petrol,Manual,20.85,83.14,5,450000
Honda,6,80000.0,Dealer,Petrol,Automatic,13.7,153.86,5,1290000
Volkswagen,6,46000.0,Dealer,Petrol,Manual,16.47,74.0,5,455000
Hyundai,2,9000.0,Individual,Petrol,Manual,20.7,81.86,5,710000
Honda,5,53000.0,Dealer,Petrol,Manual,16.8,116.3,5,770000
Ford,3,11387.0,Individual,Diesel,Automatic,10.91,182.25,7,2900000
Honda,3,50000.0,Individual,Diesel,Manual,25.8,98.6,5,720000
Mahindra,5,52000.0,Dealer,Diesel,Manual,25.32,77.0,5,375000
Datsun,6,35000.0,Individual,Petrol,Manual,19.44,67.0,7,400000
Renault,6,48000.0,Individual,Diesel,Manual,19.87,83.8,5,600000
Honda,3,18000.0,Individual,Petrol,Manual,18.7,88.7,5,600000
Maruti,9,57413.0,Individual,LPG,Manual,14.4,61.7,5,270000
Hyundai,6,30000.0,Individual,Petrol,Manual,18.6,81.83,5,500000
Hyundai,6,55000.0,Dealer,Diesel,Manual,23.9,126.2,5,650000
Maruti,3,10000.0,Individual,Petrol,Automatic,21.21,81.8,5,660000
BMW,5,68000.0,Dealer,Diesel,Automatic,22.69,182.25,5,2090000
Kia,1,8000.0,Dealer,Petrol,Manual,16.8,113.4,5,1275000
Maruti,6,65000.0,Dealer,Diesel,Manual,28.4,74.0,5,495000
Hyundai,5,25000.0,Individual,Petrol,Manual,18.9,82.0,5,475000
Maruti,6,70000.0,Individual,Petrol,Manual,20.73,91.1,5,530000
Tata,5,9500.0,Individual,Petrol,Manual,23.84,84.0,5,530000
Hyundai,6,9100.0,Individual,Petrol,Manual,17.01,121.3,5,650000
Honda,11,86000.0,Dealer,Petrol,Manual,17.0,118.0,5,335000
Audi,8,78000.0,Dealer,Diesel,Automatic,16.55,147.51,5,1290000
Ford,10,60000.0,Individual,Diesel,Manual,20.0,68.0,5,300000
Maruti,2,7883.0,Trustmark Dealer,Petrol,Automatic,21.5,81.8,5,550000
Maruti,8,50205.0,Trustmark Dealer,Diesel,Manual,23.4,74.0,5,390000
Mahindra,13,130000.0,Individual,Diesel,Manual,13.6,63.0,7,260000
Tata,4,58000.0,Dealer,Diesel,Manual,24.7,69.0,5,395000
Mahindra,9,130000.0,Individual,Diesel,Manual,12.05,120.0,8,550000
Maruti,3,15000.0,Individual,Petrol,Manual,22.0,81.8,5,650000
Maruti,5,71245.0,Dealer,Diesel,Manual,28.4,74.0,5,375000
Kia,2,7000.0,Individual,Petrol,Manual,16.1,138.0,5,1300000
Maruti,3,20000.0,Individual,Petrol,Manual,23.95,67.05,5,360000
Maruti,1,8700.0,Individual,Petrol,Manual,21.63,67.04,5,505000
Maruti,2,25000.0,Individual,Petrol,Manual,24.7,47.3,5,310000
Hyundai,6,42000.0,Dealer,Petrol,Manual,18.6,81.86,5,545000
Mahindra,15,120000.0,Individual,Diesel,Manual,13.6,63.0,7,150000
Maruti,3,50000.0,Individual,Petrol,Manual,21.4,83.1,5,580000
Maruti,10,58000.0,Individual,Petrol,Manual,18.9,67.1,5,250000
Hyundai,4,36000.0,Individual,Petrol,Manual,17.43,105.5,5,650000
Maruti,3,30000.0,Individual,Diesel,Manual,25.47,88.5,7,410000
Ford,6,130000.0,Dealer,Diesel,Manual,22.77,98.59,5,531000
Ford,3,7500.0,Individual,Diesel,Manual,23.0,98.96,5,890000
Tata,5,47227.0,Dealer,Diesel,Manual,14.0,138.1,7,775000
Maruti,3,52000.0,Dealer,CNG,Manual,33.54,67.04,5,435000
Ford,9,74000.0,Dealer,Diesel,Manual,20.0,68.05,5,185000
Mahindra,10,47000.0,Dealer,Diesel,Manual,15.96,62.1,7,440000
Hyundai,6,50000.0,Individual,Petrol,Manual,18.6,81.83,5,450000
Maruti,4,100000.0,Individual,Petrol,Manual,21.4,83.1,5,600000
Maruti,7,35000.0,Individual,Petrol,Manual,23.1,67.04,5,320000
Hyundai,5,50000.0,Individual,Diesel,Manual,21.19,88.73,5,700000
Ford,3,10000.0,Individual,Petrol,Manual,18.16,86.8,5,630000
Maruti,5,10370.0,Individual,Petrol,Manual,22.74,47.3,5,320000
Honda,8,62000.0,Dealer,Petrol,Manual,16.8,116.3,5,465000
Hyundai,5,40000.0,Individual,Petrol,Manual,18.6,81.83,5,550000
Maruti,4,60000.0,Individual,Petrol,Manual,22.0,81.8,5,445000
Tata,8,67231.0,Dealer,Diesel,Manual,14.0,138.1,7,705000
Maruti,8,64000.0,Dealer,CNG,Manual,33.54,67.04,5,270000
Honda,7,63000.0,Dealer,Diesel,Manual,26.0,98.6,5,475000
Toyota,6,80000.0,Individual,Diesel,Manual,12.55,168.5,7,1755000
Honda,10,55000.0,Dealer,Petrol,Manual,16.9,100.0,5,350000
Hyundai,5,11000.0,Dealer,Petrol,Manual,18.6,81.83,5,575000
Renault,4,17000.0,Individual,Petrol,Manual,23.01,67.0,5,360000
Maruti,4,25000.0,Individual,Petrol,Manual,24.7,47.3,5,275000
Datsun,5,33350.0,Individual,Petrol,Manual,19.44,67.0,7,320000
Hyundai,6,62000.0,Dealer,Petrol,Manual,18.9,82.0,5,370000
Maruti,12,59000.0,Individual,Petrol,Manual,17.5,85.8,5,275000
Honda,7,86113.0,Dealer,Petrol,Manual,17.4,117.3,5,550000
Maruti,3,10000.0,Individual,Diesel,Manual,28.4,74.02,5,750000
Maruti,6,92537.0,Individual,Petrol,Manual,20.51,67.04,5,272000
Maruti,2,27645.0,Dealer,Diesel,Manual,28.09,88.5,5,951000
Maruti,8,46242.0,Individual,Petrol,Manual,20.92,67.1,5,280000
Honda,8,70000.0,Individual,Petrol,Manual,16.8,116.3,5,545000
Renault,1,6000.0,Individual,Petrol,Manual,22.3,53.26,5,450000
Hyundai,4,64000.0,Dealer,Petrol,Manual,18.6,81.83,5,480000
Mahindra,4,93000.0,Dealer,Diesel,Manual,15.4,120.0,7,1060000
Maruti,8,26200.0,Dealer,Petrol,Manual,22.74,47.3,5,235000
Maruti,4,25000.0,Individual,Petrol,Manual,21.4,83.1,5,590000
Toyota,3,50000.0,Dealer,Diesel,Automatic,12.9,174.5,7,2950000
Hyundai,13,80000.0,Individual,Petrol,Manual,17.92,62.1,5,110000
Mahindra,14,110000.0,Individual,Diesel,Manual,13.5,115.0,5,280000
Audi,5,55000.0,Dealer,Petrol,Automatic,17.84,147.51,5,1851000
Honda,3,25000.0,Individual,Petrol,Manual,17.4,117.3,5,750000
Hyundai,6,36000.0,Dealer,Petrol,Manual,18.9,81.86,5,400000
Maruti,6,40000.0,Individual,Diesel,Manual,26.59,74.0,5,530000
Mahindra,3,25000.0,Individual,Diesel,Manual,16.55,105.0,6,870000
Renault,3,30038.0,Dealer,Petrol,Manual,25.17,53.3,5,295000
Tata,4,53000.0,Individual,Diesel,Manual,27.28,69.0,5,370000
Maruti,3,5000.0,Individual,Petrol,Manual,21.21,81.8,5,530000
Renault,4,35000.0,Individual,Petrol,Automatic,24.04,67.0,5,350000
Ford,8,62000.0,Dealer,Diesel,Manual,22.7,89.84,5,470000
Ford,6,42000.0,Individual,Diesel,Manual,25.83,99.0,5,390000
Mahindra,6,80000.0,Individual,Diesel,Manual,15.4,120.0,7,920000
Mahindra,8,60000.0,Individual,Diesel,Manual,15.1,140.0,7,550000
Hyundai,7,45000.0,Individual,Diesel,Manual,22.32,126.32,5,635000
Mahindra,4,50000.0,Dealer,Diesel,Automatic,16.0,140.0,7,1250000
Maruti,3,12000.0,Individual,Petrol,Manual,24.7,47.3,5,300000
Honda,3,12000.0,Individual,Petrol,Automatic,18.0,117.6,5,960000
Maruti,3,15000.0,Individual,Diesel,Manual,24.3,88.5,5,750000
Volkswagen,10,63000.0,Dealer,Petrol,Manual,16.47,73.9,5,249000
Tata,3,30000.0,Individual,Diesel,Manual,17.6,153.86,7,1400000
Ford,10,130000.0,Individual,Diesel,Manual,20.0,68.0,5,250000
Hyundai,7,120000.0,Individual,Diesel,Manual,22.32,126.32,5,610000
Ford,5,78247.0,Dealer,Diesel,Manual,21.7,98.96,5,545000
Hyundai,8,113000.0,Individual,Diesel,Manual,22.32,126.3,5,480000
Hyundai,7,52000.0,Dealer,Petrol,Manual,18.6,81.83,5,395000
Toyota,9,109000.0,Dealer,Diesel,Manual,12.99,100.6,7,495000
Hyundai,4,90000.0,Individual,Petrol,Manual,18.9,82.0,5,470000
Volkswagen,10,98000.0,Dealer,Diesel,Manual,22.07,73.9,5,200000
Hyundai,5,20000.0,Individual,Diesel,Manual,21.19,88.73,5,699000
Maruti,7,21717.0,Individual,Petrol,Manual,20.51,67.04,5,340000
Renault,7,40000.0,Individual,Diesel,Manual,20.45,83.8,5,500000
Honda,4,50000.0,Individual,Petrol,Manual,17.14,117.6,5,1050000
Renault,5,90000.0,Individual,Diesel,Manual,19.6,108.45,5,600000
Maruti,4,27876.0,Dealer,Petrol,Manual,20.4,81.8,5,491000
Land Rover,5,56000.0,Dealer,Petrol,Automatic,12.63,177.0,5,2890000
Hyundai,13,57215.0,Individual,Petrol,Manual,20.36,78.9,5,160000
Hyundai,2,5400.0,Dealer,Petrol,Manual,18.27,118.35,5,985000
Maruti,7,60000.0,Individual,Diesel,Manual,23.4,74.0,5,500000
Tata,4,24800.0,Individual,Petrol,Manual,23.84,84.0,5,335000
Maruti,16,70000.0,Individual,Petrol,Manual,19.7,46.3,5,85000
Honda,3,20000.0,Dealer,Petrol,Automatic,17.1,88.51,5,740000
Maruti,8,34553.0,Dealer,Petrol,Manual,22.0,81.8,5,375000
Maruti,3,40000.0,Individual,Diesel,Manual,24.3,88.5,5,810000
Volkswagen,11,130000.0,Individual,Petrol,Manual,16.47,73.9,5,173000
Maruti,4,50000.0,Individual,Diesel,Manual,24.3,88.5,5,700000
Mahindra,5,70000.0,Individual,Diesel,Manual,25.32,77.0,6,310000
Mahindra,4,120000.0,Individual,Diesel,Manual,15.4,120.0,7,850000
Hyundai,8,90000.0,Individual,Diesel,Manual,22.54,88.76,5,285000
Maruti,7,120000.0,Individual,Diesel,Manual,23.4,74.0,5,450000
Hyundai,4,80000.0,Individual,Diesel,Manual,19.67,126.2,5,1100000
Mahindra,4,30000.0,Individual,Diesel,Manual,15.4,120.0,7,1080000
Honda,7,66100.0,Dealer,Diesel,Manual,26.0,98.6,5,530000
Maruti,4,50000.0,Individual,Diesel,Manual,28.4,74.02,5,680000
Mahindra,4,42000.0,Dealer,Diesel,Manual,15.4,120.0,7,1025000
Hyundai,4,55000.0,Individual,Petrol,Manual,18.6,81.83,5,650000
Hyundai,9,110699.0,Dealer,Petrol,Manual,20.36,78.9,5,194000
Maruti,2,5000.0,Individual,Petrol,Automatic,21.4,83.1,5,686000
Maruti,5,50000.0,Individual,Petrol,Manual,22.74,47.3,5,200000
Maruti,11,44000.0,Dealer,Petrol,Manual,19.1,85.8,5,250000
Maruti,3,90000.0,Individual,Diesel,Manual,24.3,88.5,5,730000
Hyundai,5,55000.0,Dealer,Petrol,Manual,17.01,121.3,5,650000
Maruti,4,45000.0,Dealer,Diesel,Manual,24.3,88.5,5,790000
Maruti,4,30000.0,Individual,Petrol,Manual,21.4,83.1,5,620000
Hyundai,8,50000.0,Individual,Petrol,Manual,17.01,121.3,5,510000
Maruti,8,20000.0,Individual,Petrol,Manual,15.37,73.0,5,375000
Maruti,4,19843.0,Trustmark Dealer,Petrol,Automatic,21.21,81.8,5,620000
Ford,10,30000.0,Individual,Diesel,Automatic,11.4,153.86,7,950000
Toyota,4,52300.0,Dealer,Diesel,Manual,13.68,147.51,7,1450000
Honda,5,40000.0,Individual,Petrol,Automatic,18.0,117.3,5,845000
Maruti,7,61500.0,Dealer,Diesel,Manual,23.4,74.0,5,390000
Honda,6,59000.0,Dealer,Petrol,Manual,18.0,86.7,5,395000
Hyundai,3,40000.0,Individual,Petrol,Manual,18.9,81.86,5,450000
Audi,8,60000.0,Individual,Diesel,Automatic,17.68,174.33,5,1700000
Hyundai,8,61000.0,Dealer,Petrol,Manual,18.9,82.0,5,325000
Mahindra,5,70000.0,Individual,Diesel,Manual,25.32,77.0,6,350000
Mahindra,8,63000.0,Dealer,Diesel,Manual,15.1,140.0,7,650000
Mercedes-Benz,9,58000.0,Dealer,Petrol,Manual,12.3,182.25,5,1250000
Maruti,4,22000.0,Individual,Diesel,Manual,28.4,74.02,5,750000
Honda,11,57977.0,Dealer,Petrol,Manual,17.0,118.0,5,299000
Land Rover,3,13000.0,Dealer,Petrol,Automatic,12.19,182.25,4,7000000
Mini,9,67000.0,Dealer,Petrol,Automatic,17.33,182.25,4,1325000
Maruti,7,48242.0,Dealer,Diesel,Manual,20.77,88.76,7,524000
Ford,9,68000.0,Dealer,Diesel,Manual,20.0,68.05,5,169000
Maruti,7,40000.0,Individual,Diesel,Manual,20.77,88.8,7,500000
Audi,9,98000.0,Dealer,Diesel,Automatic,12.07,182.25,7,2000000
Maruti,8,113450.0,Individual,Diesel,Manual,23.4,74.0,5,380000
Maruti,3,80000.0,Individual,Petrol,Automatic,20.51,67.0,5,400000
Hyundai,1,1000.0,Dealer,Petrol,Automatic,20.3,68.0,5,565000
Maruti,6,20292.0,Dealer,Petrol,Manual,20.51,67.04,5,335000
Mahindra,11,67900.0,Dealer,Diesel,Manual,12.05,120.0,7,300000
Mahindra,6,40000.0,Dealer,Diesel,Manual,15.4,120.0,7,1051000
Hyundai,4,60000.0,Individual,Diesel,Manual,24.0,73.97,5,510000
Renault,3,25000.0,Individual,Petrol,Automatic,24.04,67.0,5,370000
Maruti,15,70000.0,Individual,Petrol,Manual,18.9,67.1,5,200000
Maruti,3,21000.0,Individual,Diesel,Manual,27.39,74.0,5,625000
Mahindra,3,39000.0,Dealer,Diesel,Manual,16.36,140.0,7,1290000
Hyundai,4,30000.0,Dealer,Petrol,Manual,15.8,121.3,5,890000
Hyundai,9,61000.0,Dealer,Diesel,Manual,22.32,126.3,5,420000
Maruti,4,5743.0,Trustmark Dealer,Petrol,Manual,20.4,83.11,5,500000
Hyundai,3,24200.0,Individual,Petrol,Manual,18.9,81.86,5,600000
Maruti,4,57000.0,Individual,Diesel,Manual,27.39,74.0,5,590000
Hyundai,10,58000.0,Dealer,Petrol,Manual,20.36,78.9,5,190000
Datsun,4,15000.0,Individual,Petrol,Manual,19.44,67.0,7,500000
Maruti,4,10000.0,Individual,Petrol,Manual,23.1,67.04,5,450000
Mahindra,6,100000.0,Individual,Diesel,Manual,15.1,140.0,7,650000
BMW,1,2000.0,Dealer,Petrol,Automatic,11.29,182.25,2,8250000
Maruti,1,10000.0,Individual,Petrol,Manual,20.52,81.8,5,500000
Maruti,12,43000.0,Individual,Petrol,Manual,19.7,46.3,5,140000
Honda,8,64000.0,Dealer,CNG,Manual,18.0,86.7,5,349000
Maruti,7,30000.0,Individual,Petrol,Manual,20.51,67.06,5,325000
Honda,7,63000.0,Dealer,Petrol,Manual,17.8,117.3,5,435000
Maruti,3,28000.0,Dealer,CNG,Manual,31.79,58.33,5,455000
Land Rover,3,25000.0,Individual,Petrol,Automatic,9.17,182.25,7,6200000
Honda,4,32226.0,Dealer,Petrol,Manual,17.8,117.3,5,755000
Maruti,7,65000.0,Individual,Petrol,Manual,23.95,67.05,5,245000
Kia,2,14000.0,Dealer,Diesel,Manual,20.8,113.4,5,1350000
Renault,3,15000.0,Individual,Petrol,Automatic,24.04,67.0,5,310000
BMW,3,30000.0,Individual,Petrol,Automatic,14.28,182.25,4,5500000
Maruti,3,32000.0,Dealer,Diesel,Manual,19.3,73.9,5,675000
Maruti,2,30000.0,Individual,Petrol,Manual,20.52,81.8,5,500000
Hyundai,11,25000.0,Individual,Petrol,Manual,20.36,78.9,5,300000
Mahindra,5,35000.0,Individual,Diesel,Automatic,15.4,120.0,7,1450000
Mahindra,8,130000.0,Individual,Diesel,Manual,12.05,120.0,8,530000
Ford,7,65597.0,Trustmark Dealer,Diesel,Manual,22.7,89.84,5,575000
Hyundai,4,35000.0,Individual,Petrol,Manual,18.6,81.83,5,550000
Maruti,7,130000.0,Individual,Diesel,Manual,26.21,88.5,5,500000
Maruti,1,7124.0,Individual,Petrol,Manual,21.01,81.8,5,643000
Ford,2,15000.0,Individual,Petrol,Manual,18.1,123.24,5,1000000
Hyundai,5,34000.0,Individual,Petrol,Manual,18.9,82.0,5,550000
Volkswagen,10,130000.0,Individual,Diesel,Manual,20.54,103.6,5,300000
Tata,3,40000.0,Individual,Petrol,Manual,20.3,84.0,5,470000
Honda,7,77000.0,Dealer,Diesel,Manual,26.0,98.6,5,525000
Datsun,4,15000.0,Individual,Petrol,Manual,19.44,67.0,7,469000
Maruti,9,60000.0,Individual,Petrol,Manual,20.92,67.1,5,210000
Maruti,8,120000.0,Individual,Petrol,Manual,22.74,47.3,5,200000
Renault,2,2500.0,Individual,Petrol,Manual,23.01,67.0,5,400000
Jaguar,8,50000.0,Dealer,Diesel,Automatic,16.36,182.25,5,2150000
Maruti,5,46500.0,Individual,Petrol,Manual,23.1,67.04,5,340000
Maruti,16,5000.0,Individual,Petrol,Manual,19.7,46.3,5,95000
Maruti,9,68000.0,Individual,Diesel,Manual,22.9,74.0,5,381000
Mercedes-Benz,10,45000.0,Dealer,Diesel,Automatic,14.94,182.25,5,775000
Maruti,4,20000.0,Individual,Diesel,Manual,28.4,74.02,5,700000
Maruti,4,106000.0,Dealer,Diesel,Manual,28.09,88.5,5,675000
Honda,6,28000.0,Dealer,Petrol,Automatic,18.0,117.3,5,670000
Mahindra,3,50000.0,Individual,Diesel,Manual,16.0,140.0,7,1050000
BMW,2,19000.0,Individual,Diesel,Automatic,13.38,182.25,5,7900000
Honda,10,55000.0,Dealer,Petrol,Manual,17.0,118.0,5,360000
Ford,4,53000.0,Individual,Diesel,Manual,25.83,99.0,5,400000
Hyundai,7,89000.0,Dealer,Diesel,Manual,22.32,126.32,5,470000
Maruti,3,22000.0,Individual,Petrol,Manual,24.7,47.3,5,304000
